name,description,difficulty,image,emoji
Afghanistan,"Asia, UN, landlocked",1.0,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Flag_of_the_Taliban.svg/1200px-Flag_of_the_Taliban.svg.png,🇦🇫
Albania,"Europe, UN",1.0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Flag_of_Albania.svg/1200px-Flag_of_Albania.svg.png,🇦🇱
Algeria,"Africa, UN, AU",1.0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Flag_of_Algeria.svg/1200px-Flag_of_Algeria.svg.png,🇩🇿
Andorra,"Europe, UN, microstate",4.0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Flag_of_Andorra.svg/1200px-Flag_of_Andorra.svg.png,🇦🇩
Angola,"Africa, UN, AU",1.0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Flag_of_Angola.svg/1200px-Flag_of_Angola.svg.png,🇦🇴
Antigua and Barbuda,"North America, UN, island nation",1.0,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Flag_of_Antigua_and_Barbuda.svg/1200px-Flag_of_Antigua_and_Barbuda.svg.png,🇦🇬
Argentina,"South America, UN, G20",1.0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_Argentina.svg/1200px-Flag_of_Argentina.svg.png,🇦🇷
Armenia,"Asia, UN, landlocked",1.0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Flag_of_Armenia.svg/1200px-Flag_of_Armenia.svg.png,🇦🇲
Aruba,"North America, special status, Netherlands",2.5,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Aruba.svg/1200px-Flag_of_Aruba.svg.png,🇦🇼
Australia,"Oceania, UN, G20",1.0,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Flag_of_Australia_%28converted%29.svg/1200px-Flag_of_Australia_%28converted%29.svg.png,🇦🇺
Austria,"Europe, UN, EU",1.0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Flag_of_Austria.svg/1200px-Flag_of_Austria.svg.png,🇦🇹
Azerbaijan,"Asia, UN, CIS",1.0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Flag_of_Azerbaijan.svg/1200px-Flag_of_Azerbaijan.svg.png,🇦🇿
Bahamas,"North America, UN",1.0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Flag_of_the_Bahamas.svg/1200px-Flag_of_the_Bahamas.svg.png,🇧🇸
Bahrain,"Asia, UN, GCC",1.0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Flag_of_Bahrain.svg/1200px-Flag_of_Bahrain.svg.png,🇧🇭
Bangladesh,"Asia, UN, SAARC",1.0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Flag_of_Bangladesh.svg/1200px-Flag_of_Bangladesh.svg.png,🇧🇩
Barbados,"North America, UN",1.0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Flag_of_Barbados.svg/1200px-Flag_of_Barbados.svg.png,🇧🇧
Belarus,"Europe, UN, CIS, partially recognized",3.5,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Flag_of_Belarus.svg/1200px-Flag_of_Belarus.svg.png,🇧🇾
